"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 19 15:41:43 CST 2024","Tue Nov 19 15:42:14 CST 2024","30679","TestCase","KaoHeAllure","Test_haidao_reg_case","","","验证正确的商品增加001","用例描述,填写用例的详细数据,确保这些数据之前不存在系统"
"passed","Tue Nov 19 15:42:17 CST 2024","Tue Nov 19 15:42:55 CST 2024","37907","TestCase","KaoHeAllure","Test_haidao_reg_case","","","验证正确的商品购买001","用例描述,填写用例的详细数据,确保这些数据之前不存在系统"
